M14Tue		Mark 4:24-34		143
M14Wed		Mark 4:35-41		144
M14Thu		Mark 5:1-20		145
M14Fri		Mark 5:22-24,35-6:1		146
M14Sat		Matthew 23:1-12		147
M14Sun	14th of Matthew	Matthew 22:2-14		148
M15Mon		Mark 5:24-34		149
M15Tue		Mark 6:1-7		150
M15Wed		Mark 6:7-13		151
M15Thu		Mark 6:30-45		152
M15Fri		Mark 6:45-53		153
M15Sat		Matthew 24:1-13		154
M15Sun	15th of Matthew	Matthew 22:35-46		155
M16Mon		Mark 6:54-7:8		156
M16Tue		Mark 7:5-16		157
M16Wed		Mark 7:14-24		158
M16Thu		Mark 7:24-30		159
M16Fri		Mark 8:1-10		160
M16Sat		Matthew 24:34-44		161
M16Sun	16th of Matthew	Matthew 25:14-30; Luke 8:8		162
M17Mon		Mark 10:46-52		163
M17Tue		Mark 11:11-23		164
M17Wed		Mark 11:23-26		165
M17Thu		Mark 11:27-33		166
M17Fri		Mark 12:1-12		167
M17Sat		Matthew 25:1-13		168
M17Sun	17th of Matthew	Matthew 15:21-28		169
L1Mon		Luke 3:19-22		170
L1Tue		Luke 3:23-4:1		171
L1Wed		Luke 4:1-15		172
L1Thu		Luke 4:16-22		173
L1Fri		Luke 4:22-30		174
L1Sat		Luke 4:31-36		175
L1Sun	1st of Luke	Luke 5:1-11		176
L2Mon		Luke 4:37-44		177
L2Tue		Luke 5:12-16		178
L2Wed		Luke 5:33-39		179
L2Thu		Luke 6:12-19		180
L2Fri		Luke 6:17-23		181
L2Sat		Luke 5:17-26		182
L2Sun	2nd of Luke	Luke 6:31-36		183
L3Mon		Luke 6:24-30		184
L3Tue		Luke 6:37-45		185
L3Wed		Luke 6:46-7:1		186
L3Thu		Luke 7:17-30		187
L3Fri		Luke 7:31-35		188
L3Sat		Luke 5:27-32		189
L3Sun	3rd of Luke	Luke 7:11-16		190
L4Mon		Luke 7:36-50		191
L4Tue		Luke 8:1-3		192
L4Wed		Luke 8:22-25		193
L4Thu		Luke 9:7-11		194
L4Fri		Luke 9:12-18		195
L4Sat		Luke 6:1-10		196
L4Sun	4th of Luke	Luke 8:5-8a,9-15,8b		197
L5Mon		Luke 9:18-22		198
L5Tue		Luke 9:23-27		199
L5Wed		Luke 9:44-50		200
L5Thu		Luke 9:49-56		201
L5Fri		Luke 10:1-15		202
L5Sat		Luke 7:1-10		203
L5Sun	5th of Luke	Luke 16:19-31		204
L6Mon		Luke 10:22-24		205
L6Tue		Luke 11:1-10		206
L6Wed		Luke 11:9-13		207
L6Thu		Luke 11:14-23		208
L6Fri		Luke 11:23-26		209
L6Sat		Luke 8:16-21		210
L6Sun	6th of Luke	Luke 8:26-39		211
L7Mon		Luke 11:29-33		212
L7Tue		Luke 11:34-41		213
L7Wed		Luke 11:42-46		214
